2026학년도 1학기 성인간호학

중간고사 응답 결과
출력일: 2026-07-18

청암대학교 간호학과
※ 아래는 학생별 응답 데이터
student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
KEY,D,A,D,E,D,D,B,B,D,E,E,A,C,A,A,E,E,D,C,C,C,C,A,E,E
S001,D,A,D,A,D,D,B,B,E,C,E,A,D,B,E,E,C,E,E,E,B,E,A,A,E
S002,D,A,C,E,D,A,B,B,A,B,E,A,C,A,C,E,B,D,C,A,C,C,E,D,C
S003,D,C,D,E,B,A,B,B,D,B,E,A,C,A,A,A,E,D,E,C,C,C,A,E,E
S004,E,A,D,E,D,E,A,B,D,A,E,A,C,C,A,E,A,C,C,C,C,E,A,D,E
S005,D,A,D,C,B,D,B,D,D,E,E,A,C,E,B,D,E,D,C,B,C,C,A,D,E
S006,D,E,C,D,D,E,D,A,C,A,D,A,C,A,E,D,A,B,C,C,C,E,B,B,A
S007,D,A,D,A,B,D,B,B,A,E,C,A,C,A,A,B,C,C,C,A,B,C,A,E,A
S008,D,B,D,C,D,D,C,B,A,C,E,E,E,A,D,C,E,A,C,D,D,E,B,E,A
S009,D,C,D,E,B,D,A,A,A,D,B,B,D,A,B,B,E,E,C,B,C,E,A,B,D
S010,C,C,D,A,B,B,B,C,E,C,C,A,C,A,C,E,C,B,A,E,C,B,A,B,E
S011,D,D,D,D,D,A,E,D,C,E,D,A,C,E,B,B,D,D,B,E,C,C,B,D,E
S012,D,A,D,C,B,E,B,B,A,E,E,A,C,E,D,C,B,D,C,C,C,A,D,E,D
S013,C,A,D,A,D,B,E,D,D,C,D,D,C,B,E,A,B,E,D,C,B,C,D,D,B
S014,D,A,D,E,D,D,E,B,B,D,B,A,C,E,A,C,E,A,C,C,C,E,D,E,E
S015,D,A,D,E,D,D,B,B,D,E,E,A,C,A,A,B,E,D,C,C,C,D,A,D,E
S016,D,E,D,E,D,B,B,B,D,E,E,A,C,A,A,E,E,E,C,B,A,C,A,E,E
S017,D,B,D,D,D,E,B,B,C,A,B,A,D,A,E,E,A,D,C,E,C,C,A,E,E
S018,D,A,D,E,B,B,A,B,C,E,E,A,B,A,B,D,E,C,C,D,C,C,C,B,E
S019,D,E,A,C,E,D,B,B,D,A,E,A,C,A,A,E,E,D,D,C,E,C,A,E,E
S020,D,E,D,E,D,D,B,B,C,E,A,A,D,A,B,B,E,D,C,E,E,D,A,E,C
